YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,20,2,OO,14107,Phoenix   AZ,14689,Santa Barbara   CA,1450,1527,9,0,0,455
2015,1,15,4,OO,11695,Flagstaff   AZ,14107,Phoenix   AZ,1755,1846,0,0,0,119
2015,1,9,5,OO,11292,Denver   CO,13342,Milwaukee   WI,1720,2044,181,1,0,896
2015,1,14,3,OO,11471,Eau Claire   WI,13930,Chicago   IL,600,719,13,0,0,268
2015,1,26,1,OO,11865,Gillette   WY,11292,Denver   CO,1310,1446,8,0,0,313
2015,1,5,1,OO,11292,Denver   CO,13342,Milwaukee   WI,955,1318,64,1,0,896
2015,1,31,6,OO,14771,San Francisco   CA,14252,Pasco/Kennewick/Richland   WA,1950,2141,5,0,0,620
2015,1,12,1,OO,15376,Tucson   AZ,11292,Denver   CO,958,1152,0,0,0,639
2015,1,31,6,OO,13930,Chicago   IL,10431,Asheville   NC,1625,1908,0,0,0,536
2015,1,15,4,OO,13184,Saginaw/Bay City/Midland   MI,13930,Chicago   IL,1555,1610,0,0,0,222
2015,1,10,6,OO,13184,Saginaw/Bay City/Midland   MI,13930,Chicago   IL,1555,1610,8,0,0,222
2015,1,26,1,OO,11433,Detroit   MI,12884,Lansing   MI,1230,1324,0,0,0,74
2015,1,21,3,OO,13871,Omaha   NE,13487,Minneapolis   MN,1925,2036,2,0,0,282
2015,1,27,2,OO,14869,Salt Lake City   UT,11298,Dallas/Fort Worth   TX,942,1322,0,0,0,989
2015,1,3,6,OO,12266,Houston   TX,15376,Tucson   AZ,2112,2247,0,0,0,936
2015,1,17,6,OO,11292,Denver   CO,13244,Memphis   TN,1011,1332,6,0,0,872
2015,1,4,7,OO,12266,Houston   TX,15376,Tucson   AZ,1135,1315,19,1,0,936
2015,1,15,4,OO,12266,Houston   TX,13244,Memphis   TN,1250,1422,19,1,0,468
2015,1,3,6,OO,11292,Denver   CO,11109,Colorado Springs   CO,2208,2251,,,1,73
2015,1,25,7,OO,11292,Denver   CO,13502,Montrose/Delta   CO,1525,1626,1,0,0,196
2015,1,3,6,EV,12951,Lafayette   LA,12266,Houston   TX,1409,1510,77,1,0,201
2015,1,9,5,EV,12266,Houston   TX,13377,Monroe   LA,907,1010,0,0,0,262
2015,1,15,4,EV,15370,Tulsa   OK,12266,Houston   TX,730,916,94,1,0,429
2015,1,1,4,EV,15370,Tulsa   OK,12266,Houston   TX,755,935,0,0,0,429
2015,1,8,4,EV,12266,Houston   TX,13158,Midland/Odessa   TX,1431,1603,0,0,0,429
2015,1,30,5,EV,13158,Midland/Odessa   TX,12266,Houston   TX,1752,1918,0,0,0,429
2015,1,1,4,EV,12266,Houston   TX,12951,Lafayette   LA,1735,1828,0,0,0,201
2015,1,9,5,EV,12266,Houston   TX,12951,Lafayette   LA,1320,1417,0,0,0,201
2015,1,4,7,EV,10397,Atlanta   GA,12266,Houston   TX,923,1045,9,0,0,689
2015,1,30,5,EV,13930,Chicago   IL,12448,Jackson/Vicksburg   MS,1225,1446,0,0,0,677
2015,1,29,4,EV,11042,Cleveland   OH,15016,St. Louis   MO,700,746,0,0,0,487
